Account_ID,Report_Date,Exposure_Amount,Risk_Weight,Country_Code,Currency,Counterparty_Type,Product_Type,Exposure_Class,Credit_Quality_Step,Maturity_Months,Is_Collateralized,Capital_Requirement,RWA,Exposure_to_Capital_Ratio,Injected_Rule_Anomaly,Injected_ML_Only_Anomaly,DQ_RULE_SCORE,RULE_ANOMALY_FLAG,ROW_ID,ML_SCORE,ML_ANOMALY_FLAG,FINAL_ANOMALY_FLAG
4343,31-03-2025,154560.7721,0.112243956,NL,SGD,Retail,Derivative,Retail,8,335,1,1387.880999,17348.51249,111.2843881,0,0,0,0,4343,0.214076368,1,1
1204,31-03-2025,37922.42971,0.884455162,DE,EUR,Sovereign,Bond,Corporate,8,302,0,2683.255096,33540.6887,14.12772943,0,0,0,0,1204,0.099305374,0,0
7134,31-03-2025,24326.31134,0.426213864,ES,USD,Retail,Derivative,Retail,6,43,0,829.4568919,10368.21115,29.29268404,0,0,0,0,7134,0.045003408,0,0
1759,31-03-2025,110445.5875,0.722636728,NL,HKD,Bank,Repo,Bank,2,167,0,6384.963034,79812.03793,17.29505588,0,0,0,0,1759,0.187418518,0,0
928,31-03-2025,32119.28396,0.401269179,IT,XXX,Corporate,Repo,Sovereign,4,246,1,1031.078295,12888.47869,31.1209761,1,0,1,1,928,0.169115197,0,1
2119,31-03-2025,1698.781216,0.580157728,US,SGD,Corporate,Derivative,Sovereign,6,54,0,78.84488399,985.5610499,21.27601834,0,0,0,0,2119,0.084427513,0,0
7101,31-03-2025,17676.33419,0.171052268,GB,GBP,Corporate,Bond,Retail,3,127,1,241.8861647,3023.577059,72.77620859,0,0,0,0,7101,0.133053469,0,0
6706,31-03-2025,6884.015092,0.710764304,ES,USD,Sovereign,Bond,Retail,4,42,0,391.4329759,4892.912199,17.54188744,0,0,0,0,6706,0.069925299,0,0
1088,31-03-2025,27967.24153,0.948494801,ES,SGD,Bank,Bond,Sovereign,4,116,0,2122.142655,26526.78319,13.17256825,0,0,0,0,1088,0.043240799,0,0
6050,31-03-2025,9310.986517,0.681116793,SG,EUR,Sovereign,Repo,Corporate,3,175,1,507.3495418,6341.869273,18.31611077,0,0,0,0,6050,0.107463166,0,0
1650,31-03-2025,293479.6681,0.677413266,SG,EUR,Corporate,Bond,Retail,8,123,0,15904.56164,198807.0205,18.45138668,0,0,0,0,1650,0.303091251,1,1
6487,31-03-2025,17535.70335,0.542614582,US,INR,Retail,Repo,Corporate,1,84,0,761.2102677,9515.128346,23.00638563,0,0,0,0,6487,0.126446295,0,0
3435,31-03-2025,213722.7131,0.584054041,NL,GBP,Retail,Bond,Corporate,8,9,1,9986.049134,124825.6142,21.39998614,0,0,0,0,3435,0.304167292,1,1
4680,31-03-2025,28319.8046,0.569885713,GB,EUR,Bank,Bond,Bank,8,21,0,1291.124164,16139.05205,21.91724712,0,0,0,0,4680,0.152514247,0,0
5325,31-03-2025,26860.00127,0.845312673,FR,INR,Bank,Repo,Corporate,5,234,0,1816.407957,22705.09946,14.77929111,0,0,0,0,5325,0.075234105,0,0
683,31-03-2025,13036.12637,1.5,IN,SGD,Sovereign,Repo,Corporate,5,195,0,1000.31283,12503.91037,13.01903459,1,0,2,1,683,0.15699256,0,1
857,31-03-2025,9582.02692,0.934036754,FR,USD,Corporate,Repo,Corporate,2,277,0,715.9972256,8949.96532,13.36410599,0,0,0,0,857,0.092931137,0,0
2355,31-03-2025,74009.14794,0.166755367,IT,USD,Retail,Derivative,Corporate,6,247,0,987.3138116,12341.42265,74.8842595,0,0,0,0,2355,0.116289674,0,0
6401,31-03-2025,30641.59843,0.123656295,GB,HKD,Corporate,Derivative,Corporate,4,197,1,303.122123,3789.026538,100.7542566,0,0,0,0,6401,0.153082754,0,0
3485,31-03-2025,8017.659137,0.508539666,IN,HKD,Corporate,Derivative,Retail,6,332,0,326.1838157,4077.297696,24.50506031,0,0,0,0,3485,0.08157542,0,0
6101,31-03-2025,12236.07329,0.550918515,GB,GBP,Sovereign,Bond,Sovereign,1,200,1,539.286346,6741.079325,22.64738575,0,0,0,0,6101,0.104909582,0,0
4692,31-03-2025,28087.83175,0.567182557,IN,USD,Sovereign,Derivative,Sovereign,6,156,0,1274.474259,15930.92824,22.02148067,0,0,1,1,4692,0.049344079,0,1
4692,31-03-2025,28087.83175,0.567182557,IN,USD,Sovereign,Derivative,Sovereign,6,156,0,1274.474259,15930.92824,22.02148067,0,0,1,1,4692,0.049344079,0,1
7792,31-03-2025,9962.071094,0.565440373,IN,GBP,Corporate,Repo,Corporate,1,328,1,450.636576,5632.9572,22.05771548,0,0,0,0,7792,0.144429511,0,0
1558,31-03-2025,9865.716529,1.5,HK,HKD,Retail,Derivative,Bank,7,42,1,737.527309,9219.091363,13.35863469,1,0,2,1,1558,0.161390382,0,1
6241,31-03-2025,17738.21805,0.165908354,FR,INR,Bank,Loan,Bank,4,68,1,70.63004535,2942.918556,75.02413663,1,0,1,1,6241,0.121918003,0,1
7654,31-03-2025,35695.86462,0.751483934,GB,HKD,Retail,Derivative,Bank,8,108,0,2145.989503,26824.86879,16.62600798,0,0,0,0,7654,0.10705079,0,0
1415,31-03-2025,11573.59824,0.646230052,FR,HKD,Corporate,Loan,Bank,3,71,1,598.3365598,7479.206998,19.31068288,0,0,0,0,1415,0.082402909,0,0
240,31-03-2025,51659.70389,0.799174294,NL,USD,Sovereign,Repo,Corporate,5,286,1,3302.808592,41285.1074,15.63640945,0,0,0,0,240,0.132800972,0,0
5154,31-03-2025,-12975.25019,0.722247801,DE,EUR,Corporate,Loan,Sovereign,4,35,1,749.707673,9371.345912,17.284025,1,0,1,1,5154,0.117596414,0,1
2550,31-03-2025,,0.484482725,ES,EUR,Sovereign,Loan,Bank,7,236,0,6891.47641,86143.45512,25.79697024,1,0,1,1,2550,0.154347392,0,1
3961,31-03-2025,10597.44551,0.729440979,FR,EUR,Corporate,Bond,Retail,3,316,0,618.4168821,7730.211027,17.10874503,0,0,0,0,3961,0.083544849,0,0
5246,31-03-2025,21735.35257,0.690002378,DE,INR,Corporate,Bond,Sovereign,3,287,1,1199.795596,14997.44495,18.10079304,0,0,0,0,5246,0.061064276,0,0
7816,31-03-2025,25627.14438,0.779712878,DE,INR,Bank,Repo,Corporate,3,194,1,1598.54516,19981.8145,16.02151975,0,0,0,0,7816,0.099165869,0,0
2113,31-03-2025,22946.46505,0.798525463,HK,EUR,Retail,Derivative,Retail,5,274,0,1465.866931,18323.33664,15.6431811,0,0,0,0,2113,0.097506982,0,0
1010,31-03-2025,12897.19066,0.868840923,FR,GBP,Bank,Bond,Sovereign,7,329,0,896.4485635,11205.60704,14.37095248,0,0,0,0,1010,0.089754917,0,0
6522,31-03-2025,20436.41104,0.231081216,GB,HKD,Retail,Derivative,Sovereign,5,225,1,377.7976578,4722.470723,53.95073232,0,0,0,0,6522,0.066306465,0,0
6320,31-03-2025,19809.35074,0.706478855,IN,INR,Retail,Repo,Bank,4,202,1,1119.590993,13994.88742,17.67759232,0,0,0,0,6320,0.116140402,0,0
5471,31-03-2025,100252.252,0.607220508,SG,INR,Corporate,Repo,Retail,3,25,0,4870.017873,60875.22341,20.58137633,0,0,0,0,5471,0.154830265,0,0
6987,31-03-2025,5418.805684,0.232644941,DE,USD,Corporate,Repo,Sovereign,7,185,0,100.8526182,1260.657728,53.20241913,0,0,0,0,6987,0.092558988,0,0
1143,31-03-2025,18957.30099,0.969212377,US,GBP,Corporate,Derivative,Sovereign,3,97,0,1469.892061,18373.65076,12.88830194,0,0,0,0,1143,0.081315535,0,0
5242,31-03-2025,9485.953172,0.389974106,GB,EUR,Bank,Repo,Bank,2,325,1,295.9420883,3699.276104,31.94546528,0,0,0,0,5242,0.157484592,0,0
3358,31-03-2025,2620.881277,0.185011346,FR,INR,Corporate,Derivative,Retail,5,131,1,38.79142186,484.8927732,65.86548445,0,0,0,0,3358,0.103163629,0,0
6147,31-03-2025,23474.00838,0.993508316,NL,HKD,Retail,Derivative,Retail,4,321,0,1865.729803,23321.62254,12.57493631,0,0,0,0,6147,0.075968269,0,0
7988,31-03-2025,15489.41633,0.995454988,IT,SGD,Corporate,Bond,Corporate,2,289,0,1233.521339,15419.01674,12.54690044,0,0,0,0,7988,0.112058934,0,0
7803,31-03-2025,9937.091251,0.656220051,SG,INR,Corporate,Derivative,Corporate,3,177,1,156.5020446,6520.918526,19.01204402,1,0,1,1,7803,0.103648324,0,1
4757,31-03-2025,4928.265378,0.583645458,DE,USD,Retail,Derivative,Corporate,6,179,1,230.1087764,2876.359705,21.32444062,0,0,0,0,4757,0.063524524,0,0
3734,31-03-2025,-25465.0893,0.893991171,GB,INR,Retail,Bond,Corporate,2,185,1,1821.245199,22765.56499,13.97456792,1,0,1,1,3734,0.140178276,0,1
4774,31-03-2025,22457.52975,0.644502755,HK,INR,Retail,Repo,Retail,3,359,0,1157.915184,14473.9398,19.37806154,0,0,0,0,4774,0.095757913,0,0
4693,31-03-2025,57028.48987,0.829361747,SG,HKD,Corporate,Bond,Sovereign,1,4,1,3783.779838,47297.24798,15.06784868,0,0,0,0,4693,0.189857381,0,0
6347,31-03-2025,14295.56775,0.969648627,DE,SGD,Retail,Loan,Bank,8,291,0,1108.934211,13861.67764,12.87965323,0,0,0,0,6347,0.129267137,0,0
5458,31-03-2025,16688.68762,0.858675162,IT,HKD,Bank,Loan,Corporate,6,94,1,1146.412924,14330.16155,14.54462232,0,0,0,0,5458,0.13563862,0,0
3707,31-03-2025,13035.51698,0.729086597,FR,EUR,Retail,Loan,Sovereign,5,78,0,760.3216574,9504.020717,17.12222009,0,0,0,0,3707,0.055033296,0,0
6217,31-03-2025,22297.35963,0.152197815,SG,INR,Bank,Bond,Bank,7,312,0,271.4887537,3393.609422,81.82855009,0,0,0,0,6217,0.147542641,0,0
234,31-03-2025,11480.43605,0.518305785,HK,HKD,Sovereign,Loan,Bank,2,38,1,476.0301137,5950.376422,24.06648075,0,0,0,0,234,0.13980494,0,0
3372,31-03-2025,6665.539912,0.951164163,IT,INR,Corporate,Loan,Bank,6,329,0,507.2018156,6340.022695,13.11593093,0,0,1,1,3372,0.144179973,0,1
3372,31-03-2025,6665.539912,0.951164163,IT,INR,Corporate,Loan,Bank,6,329,0,507.2018156,6340.022695,13.11593093,0,0,1,1,3372,0.144179973,0,1
2919,31-03-2025,24296.01295,0.838767974,NL,EUR,Corporate,Repo,Sovereign,1,214,0,1630.297405,20378.71756,14.89367474,0,0,0,0,2919,0.084459716,0,0
587,31-03-2025,13913.83712,0.435222045,HK,GBP,Bank,Derivative,Sovereign,5,203,0,484.4486918,6055.608647,28.66180785,0,0,0,0,587,0.066710791,0,0
4029,31-03-2025,108938.427,0.253389882,HK,XXX,Corporate,Loan,Sovereign,8,10,0,662.4934834,27603.89514,49.308765,1,0,2,1,4029,0.223499972,1,1
1916,31-03-2025,12801.60971,0.558886651,FR,EUR,Retail,Bond,Bank,8,177,0,572.3719017,7154.648772,22.32688708,0,0,0,0,1916,0.067613586,0,0
909,31-03-2025,42002.49,0.465690729,US,SGD,Sovereign,Repo,Corporate,3,216,0,1564.813614,19560.17017,26.8247061,0,0,0,0,909,0.106216162,0,0
3718,31-03-2025,221442.0592,0.888297149,US,INR,Bank,Derivative,Retail,1,55,1,15736.50799,196706.3499,14.07097358,0,0,0,0,3718,0.355636822,1,1
6004,31-03-2025,12733.66027,0.968122167,HK,HKD,Retail,Bond,Corporate,2,294,0,986.2191022,12327.73878,12.89851487,0,0,0,0,6004,0.097114159,0,0
5328,31-03-2025,27386.41427,0.666895333,SG,INR,Bank,Bond,Sovereign,6,24,1,1461.10975,18263.87187,18.73075142,0,0,0,0,5328,0.127310795,0,0
5747,31-03-2025,15004.79745,0.718844591,US,SGD,Retail,Repo,Sovereign,3,44,0,862.8893985,10786.11748,17.36888712,0,0,0,0,5747,0.097478103,0,0
316,31-03-2025,22493.999,0.513243217,DE,HKD,Bank,Bond,Sovereign,4,343,0,923.5913935,11544.89242,24.32858359,0,0,0,0,316,0.07934646,0,0
7280,31-03-2025,47570.53002,0.665463906,US,HKD,Sovereign,Bond,Corporate,3,209,1,2532.517656,31656.4707,18.77647464,0,0,0,0,7280,0.129988311,0,0
5232,31-03-2025,36539.81093,0.661960439,GB,EUR,Bank,Bond,Corporate,1,115,0,1935.032742,24187.90927,18.87355009,0,0,0,0,5232,0.116487631,0,0
4221,31-03-2025,2014.333793,0.956852576,GB,HKD,Bank,Derivative,Bank,8,124,1,154.1936383,1927.420479,12.97948688,0,0,0,0,4221,0.153816987,0,0
3246,31-03-2025,47663.45091,0.377746913,HK,HKD,Retail,Bond,Corporate,4,240,0,1440.377717,18004.72147,33.06798096,0,0,0,0,3246,0.066865051,0,0
4565,31-03-2025,48623.35794,0.922787911,NL,INR,Sovereign,Bond,Corporate,1,235,0,3589.52375,44869.04688,13.54213516,0,0,0,0,4565,0.148806125,0,0
7118,31-03-2025,15288.3654,0.972460101,IN,USD,Bank,Loan,Sovereign,3,220,0,1189.386029,14867.32537,12.84319962,0,0,0,0,7118,0.057132737,0,0
3095,31-03-2025,9284.643144,0.707791174,SG,HKD,Sovereign,Derivative,Bank,6,345,1,525.7270778,6571.588472,17.62704736,0,0,0,0,3095,0.124108541,0,0
4547,31-03-2025,19920.89141,0.410901747,IT,USD,Sovereign,Derivative,Sovereign,3,224,0,654.8423268,8185.529085,30.37451319,0,0,0,0,4547,0.036754479,0,0
6914,31-03-2025,70500.56868,0.127997726,NL,GBP,Bank,Bond,Retail,4,70,0,721.9129965,9023.912457,97.52289559,0,0,0,0,6914,0.112146036,0,0
5022,31-03-2025,10560.57704,0.576271089,IN,HKD,Bank,Bond,Bank,3,151,0,486.8604182,6085.755227,21.64671829,0,0,0,0,5022,0.081153573,0,0
1488,31-03-2025,3786.476522,0.537009582,HK,HKD,Retail,Repo,Sovereign,2,106,1,162.669934,2033.374174,23.13483259,0,0,0,0,1488,0.09380671,0,0
1164,31-03-2025,38331.13548,0.05,ES,INR,Sovereign,Derivative,Corporate,1,300,1,153.3245419,1916.556774,248.3800373,0,1,0,0,1164,0.267127571,1,1
4335,31-03-2025,35349.456,0.451464128,US,EUR,Corporate,Bond,Corporate,5,292,0,1276.720906,15959.01132,27.66602302,0,0,0,0,4335,0.111092991,0,0
5010,31-03-2025,19119.62097,0.202286135,IT,XXX,Corporate,Derivative,Sovereign,1,165,0,309.4107386,3867.634232,61.59458612,1,0,1,1,5010,0.150823686,0,1
3313,31-03-2025,177379.5471,0.904007478,DE,HKD,Bank,Loan,Sovereign,5,163,0,12828.19496,160352.4369,13.82624145,0,0,0,0,3313,0.228488487,1,1
2273,31-03-2025,11206.97824,0.292565558,SG,HKD,Corporate,Repo,Sovereign,6,63,0,262.3020673,3278.775841,42.56319884,0,0,0,0,2273,0.062324831,0,0
1663,31-03-2025,2638.972989,0.436117795,US,SGD,Corporate,Repo,Corporate,7,42,0,92.07224649,1150.903081,28.35402699,0,0,0,0,1663,0.141740076,0,0
7204,31-03-2025,9472.480863,0.331028692,US,HKD,Retail,Loan,Retail,4,334,1,250.8530359,3135.662948,37.61114425,0,0,0,0,7204,0.173496137,0,0
7807,31-03-2025,33791.43431,0.466309713,US,HKD,Corporate,Derivative,Bank,8,244,0,1260.581923,15757.27404,26.78497028,0,0,0,0,7807,0.090994106,0,0
1173,31-03-2025,24445.49206,0.518383837,IT,USD,Sovereign,Loan,Corporate,1,179,0,1013.771838,12672.14797,24.08964375,1,0,1,1,1173,0.097588327,0,1
1173,31-03-2025,24445.49206,0.518383837,IT,USD,Sovereign,Loan,Corporate,1,179,0,1013.771838,12672.14797,24.08964375,1,0,1,1,1173,0.097588327,0,1
7939,31-03-2025,98268.44478,0.150863162,GB,SGD,Retail,Bond,Bank,2,81,0,1186.007064,14825.0883,82.78673966,0,0,0,0,7939,0.178831868,0,0
6002,31-03-2025,11720.20045,0.273169934,IN,EUR,Bank,Derivative,Sovereign,4,25,0,256.1285108,3201.606385,45.58110034,0,0,0,0,6002,0.096476648,0,0
3015,31-03-2025,12288.27302,0.317317805,GB,HKD,Corporate,Repo,Corporate,3,70,0,311.9430262,3899.287827,39.26680576,0,0,0,0,3015,0.097693532,0,0
2580,31-03-2025,127850.9593,0.152587892,NL,GBP,Sovereign,Derivative,Bank,2,182,0,1560.680668,19508.50834,81.86754308,0,0,0,0,2580,0.195750439,0,0
7740,31-03-2025,,0.477313247,IT,EUR,Sovereign,Loan,Corporate,1,140,1,1555.967845,19449.59806,26.17143279,1,0,1,1,7740,0.143278326,0,1
5637,31-03-2025,177143.0578,0.925140963,IT,SGD,Bank,Derivative,Bank,4,315,0,13110.58392,163882.299,13.51042398,0,0,0,0,5637,0.272424505,1,1
3222,31-03-2025,46980.84053,0.443296974,HK,USD,Sovereign,Repo,Sovereign,6,50,0,1666.117155,20826.46444,28.18088722,0,0,0,0,3222,0.066971618,0,0
